wkt_geom,DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Point (100.13100000024985547 34.39500000024986548),Deerni,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,34.395,100.131,China,
Point (100.23800000000005639 34.33400000029985222),Dur'ngoi,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,34.334,100.238,China,
Point (28.67199999960035939 62.92299999975023184),Luikonlahti,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,62.923,28.672,Finland,
Point (29.01000000039977067 62.73000000010000576),Outokumpu,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,62.73,29.01,Finland,
Point (58.48799999980019493 51.46300000034977984),Gaiskoye,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,51.463,58.488,Russia,
Point (58.28299999985017621 51.44999999980018401),Ishkinino,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,51.45,58.283,Russia,
Point (57.91700000014992611 52.4499999996003794),Ivanovskoe,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,52.45,57.917,Russia,
Point (56.97000000009995802 51.22999999970028284),Komsomolskoye,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,51.23,56.97,Russia,
Point (59.36999999980019993 51.0600000003997252),Letneye,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,51.06,59.37,Russia,
Point (58.63000000019991376 52.70000000000004547),Sibaiskoye,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,52.7,58.63,Russia,
Point (33.69200000000006412 41.80800000039977249),Kure,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,41.808,33.692,Turkey,
Point (-123.75699999985005206 41.99999999980019538),Turner Albright,Cobalt; Gallium,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,42,-123.757,United States of America,Oregon
Point (60.49999999970026465 61.41700000034978757),Goroblagodat,Cobalt,Co in Fe-Cu-Co skarn,61.417,60.5,Russia,
Point (59.09999999980021812 53.41700000014992611),Magnitogorsk,Cobalt; Gallium,Co in Fe-Cu-Co skarn; Ga in Kuroko Massive Sulfide,53.417,59.1,Russia,
Point (-76.40000000009990799 40.26700000034981031),Cornwall,Cobalt,Co in Fe-Cu-Co skarn,40.267,-76.4,United States of America,Pennsylvania
Point (-79.6859999999000479 47.39599999970027966),Cobalt-Gowganda,Cobalt,Polymetallic (Ag-Ni-Co-As-Bi),47.396,-79.686,Canada,
Point (-6.91000000029970352 30.52999999970029421),Bou Azzer,Cobalt,Polymetallic (Ag-Ni-Co-As-Bi),30.53,-6.91,Morocco,
Point (89.55000000009999894 49.91000000000008185),Karakul,Cobalt,Polymetallic (Ag-Ni-Co-As-Bi),49.91,89.55,Russia,
Point (144.78900000024987094 -18.13699999994997825),Bell Creek-Neck-Minnamoolka,Cobalt,Ni-Co laterite,-18.137,144.789,Australia,
Point (121.15388888876123019 -30.37777777772220134),Cawse,Cobalt,Ni-Co laterite,-30.37777778,121.1538889,Australia,
Point (129.29999999980020675 -26.00000000009987389),Claude Hills,Cobalt,Ni-Co laterite,-26,129.3,Australia,
Point (144.93472222265256732 -18.97027777749741517),Greenvale-Kokomo-Lucknow,Cobalt,Ni-Co laterite,-18.97027778,144.9347222,Australia,
Point (121.05000000009999894 -30.09999999999996589),Kalgoorlie Nickel,Cobalt,Ni-Co laterite,-30.1,121.05,Australia,
Point (149.89166666698315566 -23.00833333371633671),Marlborough,Cobalt,Ni-Co laterite,-23.00833333,149.8916667,Australia,
Point (121.89111111098907259 -28.76777777752238308),Murrin Murrin,Cobalt,Ni-Co laterite,-28.76777778,121.8911111,Australia,
Point (120.99555555514484695 -30.23972222180304925),Ora Banda,Cobalt,Ni-Co laterite,-30.23972222,120.9955556,Australia,
Point (120.39472222205301932 -33.64638888933575345),Ravensthorpe,Cobalt,Ni-Co laterite,-33.64638889,120.3947222,Australia,
Point (147.16500000024984729 -31.54599999970020008),Summervale/Westlynn,Cobalt,Ni-Co laterite,-31.546,147.165,Australia,
Point (117.75000000039972292 -26.81999999990000561),Weld Range,Cobalt,Ni-Co laterite,-26.82,117.75,Australia,
Point (128.96916666670836094 -26.06444444485521217),Wingellina,Cobalt,Ni-Co laterite,-26.06444444,128.9691667,Australia,
Point (122.03600000000005821 -29.72600000009987298),Yerilla,Cobalt,Ni-Co laterite,-29.726,122.036,Australia,
Point (148.81700000014996021 -35.76700000014983516),Young,Cobalt,Ni-Co laterite,-35.767,148.817,Australia,
Point (-52.86305555566929115 -6.2130555553695217),Jacaré,Cobalt,Ni-Co laterite,-6.213055555,-52.86305556,Brazil,
Point (-48.39583333334161352 -14.3533333335664679),Niquelandia,Cobalt,Ni-Co laterite,-14.35333333,-48.39583333,Brazil,
Point (-51.11999999990001697 -15.66888888911091726),Santa Fe,Cobalt,Ni-Co laterite,-15.66888889,-51.12,Brazil,
Point (-49.32500000024975861 -6.84611111083904689),Serra do Tapa,Cobalt,Ni-Co laterite,-6.846111111,-49.325,Brazil,
